score,lang,page_title,page_url,edit_url,outcome,type,source,title_o,year_o,journal_o,doi_o,cited_by_count_o,title_r,year_r,journal_r,doi_r,cited_by_count_r,rep_short,sentence_suggestion,sections,paragraph_excerpt,o_ref_block,cite_template
264.4131129268226,en,Neuroscience of free will,https://en.wikipedia.org/wiki/Neuroscience_of_free_will,https://en.wikipedia.org/w/index.php?title=Neuroscience_of_free_will&action=edit,failed,replication,COS,The Value of Believing in Free Will,2008,Psychological Science,10.1111/j.1467-9280.2008.02045.x,655,Estimating the reproducibility of psychological science,2015,Science,10.1126/science.aac4716,8595,Open Science Collaboration,"However, a replication attempt by Open Science Collaboration (2015) failed to reproduce this finding.",Relevance of scientific research,There is also the question of the influence of such interpretations on people's behavior.<ref>{{cite web|url=http://optimal.org/peter/freewill.htm|title=The Nature of Freewill|first1=Peter|last1=Voss|first2=Louise|last2=Gold}}</ref><ref>{{cite web|url=https://mindhacks.com/2013/09/29/the-effect-of-diminished-belief-in-free-will/|title=The effect of diminished belief in free will|author=tomstaff...,<ref>{{cite journal|pmid=18181791| doi=10.1111/j.1467-9280.2008.02045.x| volume=19| issue=1| title=The value of believing in free will: encouraging a belief in determinism increases cheating| date=January 2008| journal=Psychol. Sci.| pages=49–54| last1 = Vohs| first1 = K. D.| last2 = Schooler| first2 = J. W.| s2cid=2643260}}</ref>,<ref>{{cite journal |last1=Open Science Collaboration |first1=NA |year=2015 |title=Estimating the reproducibility of psychological science |journal=Science |volume=349 |issue=6251 |pages=aac4716 |doi=10.1126/science.aac4716}}</ref>
264.4131129268226,en,Free will,https://en.wikipedia.org/wiki/Free_will,https://en.wikipedia.org/w/index.php?title=Free_will&action=edit,failed,replication,COS,The Value of Believing in Free Will,2008,Psychological Science,10.1111/j.1467-9280.2008.02045.x,655,Estimating the reproducibility of psychological science,2015,Science,10.1126/science.aac4716,8595,Open Science Collaboration,"However, a replication attempt by Open Science Collaboration (2015) failed to reproduce this finding.",Effects of the belief itself,"Baumeister and colleagues found that provoking disbelief in free will seems to cause various negative effects. The authors concluded, in their paper, that it is belief in [[determinism]] that causes those negative effects.<ref name=BAC/> Kathleen Vohs has found that those whose belief in free will had been eroded were more likely to cheat.<ref name=""Vohs&Sschooler2008"">{{cite journal | last1 = ...","<ref name=""Vohs&Sschooler2008"">{{cite journal | last1 = Vohs | first1 = K.D. | last2 = Schooler | first2 = J.W. | s2cid = 2643260 | year = 2008 | title = The value of believing in free will: Encouraging a belief in determinism increases cheating | journal = Psychological Science | volume = 19 | issue = 1| pages = 49–54 | doi = 10.1111/j.1467-9280.2008.02045.x | pmid = 18181791 }}</ref>",<ref>{{cite journal |last1=Open Science Collaboration |first1=NA |year=2015 |title=Estimating the reproducibility of psychological science |journal=Science |volume=349 |issue=6251 |pages=aac4716 |doi=10.1126/science.aac4716}}</ref>
243.19844853595583,en,Kindness,https://en.wikipedia.org/wiki/Kindness,https://en.wikipedia.org/w/index.php?title=Kindness&action=edit,failed,replication,COS,Reading Literary Fiction Improves Theory of Mind,2013,Science,10.1126/science.1239918,1564,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,Nature Human Behaviour,10.1038/s41562-018-0399-z,1551,Camerer et al.,"However, a replication attempt by Camerer et al. (2018) failed to reproduce this finding.",In literature,"==In literature==
Kindness can be explicitly and implicitly developed through sharing and discussing stories presented in children’s literature.{{Cn|date=April 2026}} Readers of fiction tend to have better abilities of empathy and theory of mind.<ref>{{cite journal | last1=Mar | first1=Raymond A. | last2=Oatley | first2=Keith | last3=Peterson | first3=Jordan B. | title=Exploring the link betwee...",<ref>{{cite journal | last1=Kidd | first1=David Comer | last2=Castano | first2=Emanuele | title=Reading Literary Fiction Improves Theory of Mind | journal=Science | date=2013 | volume=342 | issue=6156 | pages=377–380 | doi=10.1126/science.1239918 | pmid=24091705 | bibcode=2013Sci...342..377K }}</ref>,<ref>{{cite journal |last1=Camerer |first1=Colin F. |last2=Dreber |first2=Anna |last3=Holzmeister |first3=Felix |last4=Ho |first4=Teck-Hua |last5=Huber |first5=Jürgen |last6=Johannesson |first6=Magnus |last7=Kirchler |first7=Michael |last8=Nave |first8=Gideon |last9=Nosek |first9=Brian A. |display-authors=etal |year=2018 |title=Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015 |journal=Nature Human Behaviour |volume=2 |issue=9 |pages=637-644 |doi=10.1038/s41562-018-0399-z}}</ref>
243.19844853595583,en,Collective intelligence,https://en.wikipedia.org/wiki/Collective_intelligence,https://en.wikipedia.org/w/index.php?title=Collective_intelligence&action=edit,failed,replication,COS,Reading Literary Fiction Improves Theory of Mind,2013,Science,10.1126/science.1239918,1564,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,Nature Human Behaviour,10.1038/s41562-018-0399-z,1551,Camerer et al.,"However, a replication attempt by Camerer et al. (2018) failed to reproduce this finding.",Potential connections to individual intelligence,"s only to a certain point and that additional IQ points over an estimate of IQ 120 do not translate into real life advantages. If a similar border exists for Group-IQ or if advantages are linear and infinite, has still to be explored. Similarly, demand for further research on possible connections of individual and collective intelligence exists within plenty of other potentially transferable lo...",<ref>{{Cite journal|last1=Kidd|first1=David Comer|last2=Castano|first2=Emanuele|date=2013-10-18|title=Reading Literary Fiction Improves Theory of Mind|journal=Science|volume=342|issue=6156|pages=377–380|doi=10.1126/science.1239918|pmid=24091705|bibcode=2013Sci...342..377K|s2cid=5929573|hdl=11572/289277|hdl-access=free}}</ref>,<ref>{{cite journal |last1=Camerer |first1=Colin F. |last2=Dreber |first2=Anna |last3=Holzmeister |first3=Felix |last4=Ho |first4=Teck-Hua |last5=Huber |first5=Jürgen |last6=Johannesson |first6=Magnus |last7=Kirchler |first7=Michael |last8=Nave |first8=Gideon |last9=Nosek |first9=Brian A. |display-authors=etal |year=2018 |title=Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015 |journal=Nature Human Behaviour |volume=2 |issue=9 |pages=637-644 |doi=10.1038/s41562-018-0399-z}}</ref>
243.19844853595583,en,Empathy in literature,https://en.wikipedia.org/wiki/Empathy_in_literature,https://en.wikipedia.org/w/index.php?title=Empathy_in_literature&action=edit,failed,replication,COS,Reading Literary Fiction Improves Theory of Mind,2013,Science,10.1126/science.1239918,1564,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,Nature Human Behaviour,10.1038/s41562-018-0399-z,1551,Camerer et al.,"However, a replication attempt by Camerer et al. (2018) failed to reproduce this finding.",Fiction,"Mar et al., in a study of 94 participants, identified that the primary mode of literature that increases empathy is fiction, as opposed to non-fiction.<ref name="":2"">{{Cite journal |last1=Mar |first1=Raymond A. |last2=Oatley |first2=Keith |last3=Hirsh |first3=Jacob |last4=dela Paz |first4=Jennifer |last5=Peterson |first5=Jordan B. |date=2006-10-01 |title=Bookworms versus nerds: Exposure to fict...",<ref>{{Cite journal |last1=Kidd |first1=David Comer |last2=Castano |first2=Emanuele |date=2013-10-18 |title=Reading Literary Fiction Improves Theory of Mind |url=https://www.science.org/doi/10.1126/science.1239918 |journal=Science |language=en |volume=342 |issue=6156 |pages=377–380 |doi=10.1126/science.1239918 |pmid=24091705 |bibcode=2013Sci...342..377K |s2cid=5929573 |issn=0036-8075|url-access=subscription |hdl=11572/289277 |hdl-access=free }}</ref>,<ref>{{cite journal |last1=Camerer |first1=Colin F. |last2=Dreber |first2=Anna |last3=Holzmeister |first3=Felix |last4=Ho |first4=Teck-Hua |last5=Huber |first5=Jürgen |last6=Johannesson |first6=Magnus |last7=Kirchler |first7=Michael |last8=Nave |first8=Gideon |last9=Nosek |first9=Brian A. |display-authors=etal |year=2018 |title=Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015 |journal=Nature Human Behaviour |volume=2 |issue=9 |pages=637-644 |doi=10.1038/s41562-018-0399-z}}</ref>
242.16850365013698,en,Cognitive load,https://en.wikipedia.org/wiki/Cognitive_load,https://en.wikipedia.org/w/index.php?title=Cognitive_load&action=edit,failed,replication,COS,Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips,2011,Science,10.1126/science.1207745,1516,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,Nature Human Behaviour,10.1038/s41562-018-0399-z,1551,Camerer et al.,"However, a replication attempt by Camerer et al. (2018) failed to reproduce this finding.",Effects of the internet,"One prominent phenomenon illustrating this impact is the [[Google effect]], also known as digital amnesia. This term describes the tendency to forget information readily available online, as individuals are less inclined to remember details they can easily access through search engines.<ref name="":1"">{{Cite journal |last1=Sparrow |first1=Betsy |last2=Liu |first2=Jenny |last3=Wegner |first3=Dani...","<ref name="":1"">{{Cite journal |last1=Sparrow |first1=Betsy |last2=Liu |first2=Jenny |last3=Wegner |first3=Daniel M. |date=2011-08-05 |title=Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips |url=https://www.science.org/doi/10.1126/science.1207745 |journal=Science |volume=333 |issue=6043 |pages=776–778 |doi=10.1126/science.1207745|pmid=21764755 |bibcode=2011Sci...333..776S |url-access=subscription }}</ref>",<ref>{{cite journal |last1=Camerer |first1=Colin F. |last2=Dreber |first2=Anna |last3=Holzmeister |first3=Felix |last4=Ho |first4=Teck-Hua |last5=Huber |first5=Jürgen |last6=Johannesson |first6=Magnus |last7=Kirchler |first7=Michael |last8=Nave |first8=Gideon |last9=Nosek |first9=Brian A. |display-authors=etal |year=2018 |title=Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015 |journal=Nature Human Behaviour |volume=2 |issue=9 |pages=637-644 |doi=10.1038/s41562-018-0399-z}}</ref>
242.16850365013698,en,External memory (psychology),https://en.wikipedia.org/wiki/External_memory_(psychology),https://en.wikipedia.org/w/index.php?title=External_memory_(psychology)&action=edit,failed,replication,COS,Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips,2011,Science,10.1126/science.1207745,1516,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,Nature Human Behaviour,10.1038/s41562-018-0399-z,1551,Camerer et al.,"However, a replication attempt by Camerer et al. (2018) failed to reproduce this finding.",The Google effect,"Betsy Sparrow (Columbia), Jenny Liu (Wisconsin) and [[Daniel M. Wegner]] (Harvard) described the Google effect in July 2011 after having conducted four experiments.<ref name="":3"">{{cite journal|last1=Sparrow|first1=Betsy|last2=Liu|first2=Jenny|last3=Wegner|first3=Daniel M.|title=Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips|journal=Science|volume=333|i...","<ref name="":3"">{{cite journal|last1=Sparrow|first1=Betsy|last2=Liu|first2=Jenny|last3=Wegner|first3=Daniel M.|title=Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips|journal=Science|volume=333|issue=6043|pages=776–778|language=en|doi=10.1126/science.1207745|pmid=21764755|date=5 August 2011|bibcode=2011Sci...333..776S|s2cid=7688306|url=http://pdfs.semanticscholar.org/c9da/fde5969ddb9feb8a49f3d52d03a6fbe09e64.pdf|archive-url=https://web.archive.org/web/20191231024211/http://pdfs.semanticscholar.org/c9da/fde5969ddb9feb8a49f3d52d03a6fbe09e64.pdf|url-status=dead|archive-date=31 December 2019}}</ref>",<ref>{{cite journal |last1=Camerer |first1=Colin F. |last2=Dreber |first2=Anna |last3=Holzmeister |first3=Felix |last4=Ho |first4=Teck-Hua |last5=Huber |first5=Jürgen |last6=Johannesson |first6=Magnus |last7=Kirchler |first7=Michael |last8=Nave |first8=Gideon |last9=Nosek |first9=Brian A. |display-authors=etal |year=2018 |title=Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015 |journal=Nature Human Behaviour |volume=2 |issue=9 |pages=637-644 |doi=10.1038/s41562-018-0399-z}}</ref>
242.16850365013698,en,Transactive memory,https://en.wikipedia.org/wiki/Transactive_memory,https://en.wikipedia.org/w/index.php?title=Transactive_memory&action=edit,failed,replication,COS,Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips,2011,Science,10.1126/science.1207745,1516,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,Nature Human Behaviour,10.1038/s41562-018-0399-z,1551,Camerer et al.,"However, a replication attempt by Camerer et al. (2018) failed to reproduce this finding.",Extensions to other domains,"==Extensions to other domains==
When transactive memory was first envisioned, the authors were describing an external memory store within other people. They did acknowledge that we often store information within objects such as notebooks, books, or other recordings. These objects are static and transactive processes cannot occur. These objects, therefore, cannot cue memories within individuals ...","<ref>{{cite journal|last=Sparrow|first=Betsy|author2=Liu, Jenny |author3=Wegner, Daniel M. |title=Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips|journal=Science|date=14 June 2011|doi=10.1126/science.1207745|volume=333|issue=6043|pages=776–8|pmid=21764755 |bibcode=2011Sci...333..776S |s2cid=7688306|doi-access=free}}</ref>",<ref>{{cite journal |last1=Camerer |first1=Colin F. |last2=Dreber |first2=Anna |last3=Holzmeister |first3=Felix |last4=Ho |first4=Teck-Hua |last5=Huber |first5=Jürgen |last6=Johannesson |first6=Magnus |last7=Kirchler |first7=Michael |last8=Nave |first8=Gideon |last9=Nosek |first9=Brian A. |display-authors=etal |year=2018 |title=Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015 |journal=Nature Human Behaviour |volume=2 |issue=9 |pages=637-644 |doi=10.1038/s41562-018-0399-z}}</ref>
241.5066428570855,en,Visual search,https://en.wikipedia.org/wiki/Visual_search,https://en.wikipedia.org/w/index.php?title=Visual_search&action=edit,failed,replication,COS,Detecting the Snake in the Grass,2008,Psychological Science,10.1111/j.1467-9280.2008.02081.x,373,Estimating the reproducibility of psychological science,2015,Science,10.1126/science.aac4716,8595,Open Science Collaboration,"However, a replication attempt by Open Science Collaboration (2015) failed to reproduce this finding.",Evolution," Visual Search: Evidence for a Ventral Stream Visual Salience Map
| journal = Neuron
| date = 2003-12-18
| doi-access = free
}}</ref> Furthermore, chimpanzees have demonstrated improved performance in visual searches for upright human or dog faces,<ref>{{Cite journal
| doi = 10.1007/s10329-006-0011-4
| pmid = 16969584
| issn = 0032-8332
| volume = 48
| issue = 1
| pages = 1–12
| last = Tomonaga...","<ref>{{Cite journal
| doi = 10.1111/j.1467-9280.2008.02081.x
| issn = 0956-7976
| volume = 19
| issue = 3
| pages = 284–289
| last = LoBue
| first = Vanessa
| author2=Judy S. DeLoache
| title = Detecting the Snake in the Grass Attention to Fear-Relevant Stimuli by Adults and Young Children
| journal = Psychological Science
| date = 2008-03-01
| pmid=18315802| s2cid = 12776572
}}</ref>",<ref>{{cite journal |last1=Open Science Collaboration |first1=NA |year=2015 |title=Estimating the reproducibility of psychological science |journal=Science |volume=349 |issue=6251 |pages=aac4716 |doi=10.1126/science.aac4716}}</ref>
241.5066428570855,en,Snake detection theory,https://en.wikipedia.org/wiki/Snake_detection_theory,https://en.wikipedia.org/w/index.php?title=Snake_detection_theory&action=edit,failed,replication,COS,Detecting the Snake in the Grass,2008,Psychological Science,10.1111/j.1467-9280.2008.02081.x,373,Estimating the reproducibility of psychological science,2015,Science,10.1126/science.aac4716,8595,Open Science Collaboration,"However, a replication attempt by Open Science Collaboration (2015) failed to reproduce this finding.",Empirical studies,"st3=Henry|last4=Koivisto|first4=Mika|title=Who is afraid of the invisible snake? Subjective visual awareness modulates posterior brain activity for evolutionarily threatening stimuli|journal=Biological Psychology|date=1 December 2016|volume=121|issue=Part A|pages=53–61|doi=10.1016/j.biopsycho.2016.10.007|pmid=27760371|s2cid=9516831}}</ref>
Regardless, in experiments, images of snakes have been ...",<ref>{{cite journal|last1=LoBue|first1=Vanessa|last2=DeLoache|first2=Judy S.|title=Detecting the Snake in the Grass: Attention to Fear-Relevant Stimuli by Adults and Young Children|journal=Psychological Science|date=1 March 2008|volume=19|issue=3|pages=284–289|doi=10.1111/j.1467-9280.2008.02081.x|pmid=18315802|s2cid=12776572|language=en|issn=0956-7976}}</ref>,<ref>{{cite journal |last1=Open Science Collaboration |first1=NA |year=2015 |title=Estimating the reproducibility of psychological science |journal=Science |volume=349 |issue=6251 |pages=aac4716 |doi=10.1126/science.aac4716}}</ref>
